# 02706（海致科技集团）关键信息总表（披露易 + 第三方补充）

> 口径说明：披露易优先；披露易暂无则用第三方线索并标注“待定/估算”。

| 类别 | 字段 | 数值 | 来源类型 | 来源 |
|---|---|---:|---|---|
| 基本信息 | 股票代码 | 02706 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 基本信息 | 股票简称 | 海致科技集团 | 第三方 | https://stock.finance.sina.com.cn/hkstock/quotes/02706.html |
| 基本信息 | 上市/开始买卖日 | 2026/02/13 | 第三方(富途IPO列表) | https://www.futunn.com/quote/hk/ipo |
| 发行定价 | 发售价 | HK$27.060/股 | 第三方(富途IPO列表) | https://www.futunn.com/quote/hk/ipo |
| 全球发售 | 全球发售股份 | 2803.02万 | 第三方(富途IPO列表) | https://www.futunn.com/quote/hk/ipo |
| 募资金额 | 全球募资总额（估算） | 7.6 亿港元 | 第三方(由发行价×发行量) | https://www.futunn.com/quote/hk/ipo |
| 全球发售拆分 | 香港公开发售股份 | 待定 | 披露易（待补配发结果公告） | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 全球发售拆分 | 国际发售股份 | 待定 | 披露易（待补配发结果公告） | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 全球发售拆分 | 公开发售比例 | 待定 | 披露易（待补配发结果公告） | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 全球发售拆分 | 国际发售比例 | 待定 | 披露易（待补配发结果公告） | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 公开发售 | 一手中签率 | 未知 | 披露易（待补配发结果公告） | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 公开发售 | 公开发售超购倍数 | 待定 | 披露易（待补配发结果公告） | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 国际发售 | 国际发售超购倍数 | 待定 | 披露易（待补配发结果公告） | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 交易复盘 | 首日涨幅 | +242.20% | 第三方(富途IPO列表) | https://www.futunn.com/quote/hk/ipo |
| 交易复盘 | 暗盘涨跌额 | +56.940 | 第三方(富途IPO列表) | https://www.futunn.com/quote/hk/ipo |
| 交易复盘 | 暗盘涨跌幅 | +210.42% | 第三方(富途IPO列表) | https://www.futunn.com/quote/hk/ipo |
| 交易复盘 | 累计涨幅 | +343.46% | 第三方(富途IPO列表) | https://www.futunn.com/quote/hk/ipo |

## 备注
- 本档案先给出可核对骨架；后续我会把披露易《配发结果公告》中的公开/国际拆分和中签率补齐。
- 当同字段满足“至少两源接近”后，状态会从待定升级为已核对。
