【1333 博雷顿】

| 模块 | 条目 | 数值（统一单位） | 来源 |
| --- | --- | ---: | --- |
| 0 基本信息 | 股票代码 | 1333（01333） | 披露易配发结果公告[1] |
| 0 基本信息 | 中文简称 | 博雷顿 | 披露易配发结果公告[1] |
| 0 基本信息 | 上市日期 | 2025-05-07 | 披露易配发结果公告[1] |
| 0 基本信息 | 上市地 | 香港联交所主板 | 披露易配发结果公告[1] |
| 0 基本信息 | 每手股数 | 200股/手 | 披露易配发结果公告[1] |
| 0 基本信息 | 股份面值 | 人民币1.00元/股 | 披露易配发结果公告[1] |
| 0 基本信息 | 董事会主席 | 陈方明 | 披露易配发结果公告[1] |
| 0 基本信息 | 公告日期（配发结果） | 2025-05-06 | 披露易配发结果公告[1] |
| 0 基本信息 | 证券类别 | H股 | 披露易配发结果公告[1] |
| 0 基本信息 | 是否有稳定价格行动 | 不会进行（稳价期内不采取） | 披露易配发结果公告[1] |

| 1 定价与发行 | 最终发售价 | 18.0港元/股 | 披露易配发结果公告[1] |
| 1 定价与发行 | 发售价调整机制 | 不适用 | 披露易配发结果公告[1] |
| 1 定价与发行 | 发售股份总数 | 13,000,000股 | 披露易配发结果公告[1] |
| 1 定价与发行 | 香港公开发售股份（最终） | 2,600,000股 | 披露易配发结果公告[1] |
| 1 定价与发行 | 国际发售股份（最终） | 10,400,000股 | 披露易配发结果公告[1] |
| 1 定价与发行 | 上市时已发行股份总数 | 379,651,762股 | 披露易配发结果公告[1] |
| 1 定价与发行 | 超额分配股份数 | 0股 | 披露易配发结果公告[1] |
| 1 定价与发行 | 超额配股权 | 不行使 | 披露易配发结果公告[1] |
| 1 定价与发行 | 香港公开发售初始股份数 | 1,300,000股 | 披露易配发结果公告[1] |
| 1 定价与发行 | 国际发售初始股份数 | 11,700,000股 | 披露易配发结果公告[1] |
| 1 定价与发行 | 由国际发售回拨至公开发售 | 1,300,000股 | 披露易配发结果公告[1] |
| 1 定价与发行 | 公开发售最终占比 | 20.00% | 披露易配发结果公告[1] |
| 1 定价与发行 | 国际发售最终占比 | 80.00% | 披露易配发结果公告[1] |
| 1 定价与发行 | 招股价区间 | 未披露（截至2026-02-22） | 披露易（招股书链接失效，待披露易可访问后复核）[2] |
| 1 定价与发行 | 发行后总市值（按发售价静态） | 68.34亿港元（379,651,762×18） | 披露易配发结果公告[1]（计算） |

| 2 申购与配发 | 香港公开发售有效申请数 | 30,638份 | 披露易配发结果公告[1] |
| 2 申购与配发 | 香港公开发售受理申请数 | 4,937份 | 披露易配发结果公告[1] |
| 2 申购与配发 | 香港公开发售认购倍数 | 198.72倍 | 披露易配发结果公告[1] |
| 2 申购与配发 | 香港公开发售是否触发回拨机制 | 否 | 披露易配发结果公告[1] |
| 2 申购与配发 | 国际发售承配人数 | 108名 | 披露易配发结果公告[1] |
| 2 申购与配发 | 国际发售认购倍数 | 0.92倍 | 披露易配发结果公告[1] |
| 2 申购与配发 | 一手中签率 | 未披露（截至2026-02-22） | 披露易配发结果公告[1] |
| 2 申购与配发 | 中签申请占有效申请比例 | 16.11%（4,937/30,638） | 披露易配发结果公告[1]（计算） |
| 2 申购与配发 | 公开发售获配股数/发售总股数 | 20.00% | 披露易配发结果公告[1] |
| 2 申购与配发 | 国际发售获配股数/发售总股数 | 80.00% | 披露易配发结果公告[1] |

| 3 募资与费用 | 募资总额（Gross Proceeds） | 2.34亿港元 | 披露易配发结果公告[1] |
| 3 募资与费用 | 估计上市开支 | 0.862亿港元 | 披露易配发结果公告[1] |
| 3 募资与费用 | 募资净额（Net Proceeds） | 1.478亿港元 | 披露易配发结果公告[1] |
| 3 募资与费用 | 公开发售募资额（按最终价） | 0.468亿港元 | 披露易配发结果公告[1]（计算） |
| 3 募资与费用 | 国际发售募资额（按最终价） | 1.872亿港元 | 披露易配发结果公告[1]（计算） |
| 3 募资与费用 | 经纪佣金率 | 1.00% | 披露易配发结果公告[1] |
| 3 募资与费用 | 证监会交易征费率 | 0.0027% | 披露易配发结果公告[1] |
| 3 募资与费用 | 联交所交易费率 | 0.00565% | 披露易配发结果公告[1] |
| 3 募资与费用 | 会财局交易征费率 | 0.00015% | 披露易配发结果公告[1] |
| 3 募资与费用 | 每手入场费（公告/媒体口径） | 3,636.31港元/手 | 新浪首日稿[4] |
| 3 募资与费用 | 每手净买入本金（不含手续费） | 3,600.00港元/手（200×18） | 披露易配发结果公告[1]（计算） |
| 3 募资与费用 | 上市费用占募资总额比例 | 36.84%（0.862/2.34） | 披露易配发结果公告[1]（计算） |
| 3 募资与费用 | 净募资率 | 63.16%（1.478/2.34） | 披露易配发结果公告[1]（计算） |

| 4 基石与股东结构 | 基石投资者数量 | 2家 | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 基石投资者A | 香港欣威电子有限公司 | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 基石投资者A获配 | 2,117,400股 | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 基石投资者A占上市后总股本 | 0.56% | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 基石投资者B | 长风成长股票开放式基金型公司 | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 基石投资者B获配 | 1,388,800股 | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 基石投资者B占上市后总股本 | 0.37% | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 基石合计获配 | 3,506,200股 | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 基石合计占发售股份 | 26.97% | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 基石合计占上市后总股本 | 0.92% | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 基石禁售到期日 | 2026-02-06 | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 上市时公众股东人数门槛 | 至少300名股东（规则要求） | 披露易配发结果公告[1] |
| 4 基石与股东结构 | 三大公众股东持股集中度上限规则 | 不超过公众持股50%（规则描述） | 披露易配发结果公告[1] |

| 5 风险与合规 | 股权集中风险提示 | 已明确提示“少量成交可大幅波动” | 披露易配发结果公告[1] |
| 5 风险与合规 | 稳价期间是否可能有交易支持 | 不会（因无超额分配） | 披露易配发结果公告[1] |
| 5 风险与合规 | 上市前包销终止时点 | 上市日08:00前（香港时间） | 披露易配发结果公告[1] |
| 5 风险与合规 | 全球发售生效条件 | 全球发售成为无条件且终止权未行使 | 披露易配发结果公告[1] |
| 5 风险与合规 | 控股股东禁售相关信息 | 未披露（截至2026-02-22） | 披露易配发结果公告[1] |
| 5 风险与合规 | 主要IPO前投资者明细比例 | 未披露（截至2026-02-22） | 披露易配发结果公告[1] |
| 5 风险与合规 | 公开发售分配分档完整表 | 未披露（截至2026-02-22） | 披露易配发结果公告[1] |

| 6 暗盘（新浪/市场报道） | 暗盘平台 | 利弗莫尔证券（媒体引用） | 新浪暗盘快讯[3] |
| 6 暗盘（新浪/市场报道） | 暗盘盘初价 | 27.00港元 | 新浪暗盘快讯[3] |
| 6 暗盘（新浪/市场报道） | 暗盘较招股价涨幅（盘初） | +50.00% | 新浪暗盘快讯[3] |
| 6 暗盘（新浪/市场报道） | 暗盘每手账面盈利（盘初） | +1,800港元/手（不计手续费） | 新浪暗盘快讯[3] |
| 6 暗盘（新浪/市场报道） | 暗盘收盘价 | 25.40港元 | 新浪配发结果稿转述[5] |
| 6 暗盘（新浪/市场报道） | 暗盘收盘涨幅 | +41.11% | 新浪配发结果稿转述[5] |
| 6 暗盘（新浪/市场报道） | 暗盘收盘每手盈利 | +1,480港元/手（不计手续费） | 新浪配发结果稿转述[5] |
| 6 暗盘（新浪/市场报道） | 暗盘成交量 | 未披露（截至2026-02-22） | 新浪/AASTOCKS |
| 6 暗盘（新浪/市场报道） | 暗盘成交额 | 未披露（截至2026-02-22） | 新浪/AASTOCKS |

| 7 首日表现（新浪） | 首日盘中最大涨幅（媒体口径） | 超80% | 新浪首日稿[4] |
| 7 首日表现（新浪） | 首日上午收盘价 | 26.80港元 | 新浪首日稿[4] |
| 7 首日表现（新浪） | 首日上午收盘涨幅 | 超48% | 新浪首日稿[4] |
| 7 首日表现（新浪） | 首日开盘价 | 未披露（截至2026-02-22） | 新浪/AASTOCKS |
| 7 首日表现（新浪） | 首日最高价（精确值） | 未披露（截至2026-02-22） | 新浪/AASTOCKS |
| 7 首日表现（新浪） | 首日最低价 | 未披露（截至2026-02-22） | 新浪/AASTOCKS |
| 7 首日表现（新浪） | 首日收盘价（全日） | 未披露（截至2026-02-22） | 新浪/AASTOCKS |
| 7 首日表现（新浪） | 首日成交量 | 未披露（截至2026-02-22） | 新浪/AASTOCKS |
| 7 首日表现（新浪） | 首日成交额 | 未披露（截至2026-02-22） | 新浪/AASTOCKS |
| 7 首日表现（新浪） | 首日换手率 | 未披露（截至2026-02-22） | 新浪/AASTOCKS |

| 8 估算指标 | 基石获配股数/国际发售股数 | 33.71%（3,506,200/10,400,000） | 披露易配发结果公告[1]（计算） |
| 8 估算指标 | 公开发售有效申请/受理申请差值 | 25,701份 | 披露易配发结果公告[1]（计算） |
| 8 估算指标 | 上市时每手名义市值（按发售价） | 3,600港元/手 | 披露易配发结果公告[1]（计算） |
| 8 估算指标 | 暗盘盘初相对发售价溢价额 | +9.00港元/股 | 新浪暗盘快讯[3]（计算） |
| 8 估算指标 | 暗盘收盘相对发售价溢价额 | +7.40港元/股 | 新浪配发结果稿转述[5]（计算） |
| 8 估算指标 | 午间市值（按26.8港元估算） | 101.75亿港元 | 新浪首日稿[4]（计算） |
| 8 估算指标 | 发售价对应静态市盈率 | 未披露（截至2026-02-22） | 披露易/新浪 |
| 8 估算指标 | 发售价对应市净率 | 未披露（截至2026-02-22） | 披露易/新浪 |

| 9 仍待补充字段 | 联席保荐人具体名称 | 未披露（截至2026-02-22） | 披露易配发结果公告[1]（文本提取未完整识别） |
| 9 仍待补充字段 | 稳定价格经办人名称（若触发） | 未披露（截至2026-02-22） | 披露易配发结果公告[1] |
| 9 仍待补充字段 | 招股开始日 | 未披露（截至2026-02-22） | 披露易（招股书链接失效，待复核）[2] |
| 9 仍待补充字段 | 招股截止日 | 未披露（截至2026-02-22） | 披露易（招股书链接失效，待复核）[2] |
| 9 仍待补充字段 | 公开发售退款日 | 未披露（截至2026-02-22） | 披露易（招股书链接失效，待复核）[2] |
| 9 仍待补充字段 | 配发结果完整名单查询ID口径 | 未披露（截至2026-02-22） | 披露易配发结果公告[1] |
| 9 仍待补充字段 | 公司官网（招股书披露） | 未披露（截至2026-02-22） | 披露易（招股书链接失效，待复核）[2] |

---

### 来源链接
