| 模块 | 条目 | 数值（统一单位） | 来源 |
|---|---|---|---|
| 基本信息 | 股票代码 | 1828 | 披露易-招股书（https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0626/2025062600018_c.pdf） |
| 基本信息 | 公司中文名 | 富卫集团有限公司 | 披露易-招股书 |
| 基本信息 | 公司英文名 | FWD GROUP HOLDINGS LIMITED | 披露易-招股书 |
| 基本信息 | 上市板块 | 港交所主板 | 披露易-招股书 |
| 基本信息 | 股份代号标注 | 1828 | 披露易-招股书 |
| 基本信息 | 每股面值 | 0.03美元/股 | 披露易-招股书 |
| 发行结构 | 全球发售股份总数（初始） | 91,342,100股 | 披露易-招股书 |
| 发行结构 | 香港公开发售股份数（初始） | 9,134,300股 | 披露易-招股书 |
| 发行结构 | 国际发售股份数（初始） | 82,207,800股 | 披露易-招股书 |
| 发行结构 | 香港公开发售占比（初始） | 10.00% | 披露易-招股书（据股数计算） |
| 发行结构 | 国际发售占比（初始） | 90.00% | 披露易-招股书（据股数计算） |
| 发行结构 | 超额配股权上限（按15%） | 13,701,300股 | 披露易-招股书（据91,342,100×15%计算并四舍五入） |
| 发行结构 | 超额配股权状态 | 未披露（截至2026-02-22） | 披露易-稳价公告检索页（https://www1.hkexnews.hk/search/titlesearch.xhtml） |
| 定价信息 | 发售价 | 38.00港元/股 | 披露易-招股书 |
| 定价信息 | 招股价区间下限 | 38.00港元/股 | 披露易-招股书（最终定价） |
| 定价信息 | 招股价区间上限 | 38.00港元/股 | 披露易-招股书（最终定价） |
| 定价信息 | 发售市值（按上市后股本口径） | 48,298百万港元 | 披露易-招股书 |
| 定价信息 | 每手股数 | 100股/手 | 披露易-招股书“如何申请香港发售股份”章节 |
| 定价信息 | 每手本金（不含手续费） | 3,800港元/手 | 披露易-招股书（38.00×100） |
| 定价信息 | 申购经纪佣金率 | 1.0% | 披露易-招股书 |
| 定价信息 | 证监会交易征费率 | 0.0027% | 披露易-招股书 |
| 定价信息 | 会财局交易征费率 | 0.00015% | 披露易-招股书 |
| 定价信息 | 联交所交易费率 | 0.00565% | 披露易-招股书 |
| 时间表 | 招股书刊发日 | 2025-06-26 | 披露易-招股书 |
| 时间表 | 香港公开发售开始日 | 2025-06-26 | 披露易-招股书“预期时间表” |
| 时间表 | 预期上市日 | 2025-07-07 | 披露易-招股书“预期时间表” |
| 时间表 | 上市日期（公告确认） | 2025-07-07 | 新浪港股新闻（http://stock.finance.sina.com.cn/hkstock/news/01828.html） |
| 募资测算 | 募资总额（初始发售，未行使超配） | 3,470.9998百万港元 | 披露易-招股书（91,342,100×38.00） |
| 募资测算 | 募资总额（满额行使超配） | 3,991.6492百万港元 | 披露易-招股书（(91,342,100+13,701,300)×38.00） |
| 募资测算 | 净筹资（假设未行使超配） | 2,953.4百万港元 | 披露易-招股书 |
| 募资测算 | 净筹资（假设行使超配） | 3,441.6百万港元 | 披露易-招股书 |
| 募资测算 | 估计上市开支总额 | 66.4百万美元 | 披露易-招股书 |
| 募资测算 | 估计上市开支总额（港元口径） | 517.6百万港元 | 披露易-招股书 |
| 募资测算 | 直接计入权益扣减开支 | 28.3百万美元 | 披露易-招股书 |
| 募资测算 | 直接计入权益扣减开支（港元口径） | 220.7百万港元 | 披露易-招股书 |
| 募资测算 | 已经或预计费用化开支 | 38.1百万美元 | 披露易-招股书 |
| 募资测算 | 已经或预计费用化开支（港元口径） | 297.0百万港元 | 披露易-招股书 |
| 配发结果 | 香港公开发售认购倍数 | 未披露（截至2026-02-22） | 披露易-配发结果检索页（https://www1.hkexnews.hk/search/titlesearch.xhtml） |
| 配发结果 | 国际配售认购倍数 | 未披露（截至2026-02-22） | 披露易-配发结果检索页 |
| 配发结果 | 香港公开发售最终股份数 | 未披露（截至2026-02-22） | 披露易-配发结果检索页 |
| 配发结果 | 国际配售最终股份数 | 未披露（截至2026-02-22） | 披露易-配发结果检索页 |
| 配发结果 | 回拨后公开发售占比 | 未披露（截至2026-02-22） | 披露易-配发结果检索页 |
