| 模块 | 条目 | 数值（统一单位） | 来源 |
|---|---|---|---|
| 基本信息 | 股票代码 | 02050.HK | 披露易招股书：https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0613/2025061300018_c.pdf |
| 基本信息 | 公司名称（中文） | 浙江三花智能控制股份有限公司 | 同上 |
| 基本信息 | 公司名称（英文） | ZHEJIANG SANHUA INTELLIGENT CONTROLS CO., LTD. | 同上 |
| 基本信息 | 股票简称 | 三花智控 | 新浪行情页：https://stock.finance.sina.com.cn/hkstock/quotes/02050.html |
| 基本信息 | 上市板块 | 港交所主板 | 披露易招股书（股份代号2050） |
| 基本信息 | 上市日期 | 2025-06-23 | 稳价相关披露（已于2025-06-23挂牌）：https://www.hkexnews.hk/listedco/listconews/sehk/2025/0723/2025072301088_c.pdf |
| 发行与定价（披露易优先） | 最终发售价 | 22.53港元/股 | 新浪HK基础串口（hq_str_hk02050_i，issuePrice=22.530）；南财转述配发结果：https://www.sfccn.com/2025/6-23/2MMDE1MjBfMjA0MTE2Mw.html |
| 发行与定价（披露易优先） | 每手股数 | 100股/手 | 新浪HK实时接口：https://hq.sinajs.cn/list=rt_hk02050,hk02050_i |
| 发行与定价（披露易优先） | 初始H股发行股数（未行使超额配售） | 414,379,500股 | 稳价相关披露：https://www.hkexnews.hk/listedco/listconews/sehk/2025/0723/2025072301088_c.pdf |
| 发行与定价（披露易优先） | 超额配售权获行使新增H股 | 62,156,900股 | 同上 |
| 发行与定价（披露易优先） | H股发行后总股本（行使超额配售后） | 4,208,925,935股 | 同上 |
| 发行与定价（披露易优先） | H股发行后总股本（行使超额配售前） | 4,146,769,035股 | 同上 |
| 发行与定价（披露易优先） | 招股价区间下限 | 未披露（截至2026-02-22） | 披露易招股书（需人工逐页核对招股价区间） |
| 发行与定价（披露易优先） | 招股价区间上限 | 未披露（截至2026-02-22） | 披露易招股书（需人工逐页核对招股价区间） |
| 发行与定价（披露易优先） | 发售量调整权（发售量调整机制） | 未披露（截至2026-02-22） | 披露易招股书 |
| 募资金额 | 募资总额（Gross） | 93.36亿港元 | 南财转述配发结果：https://www.sfccn.com/2025/6-23/2MMDE1MjBfMjA0MTE2Mw.html |
| 募资金额 | 净筹资（Net） | 91.77亿港元 | 同上 |
| 募资金额 | 上市开支总额（Gross-Net推算） | 1.59亿港元 | 由93.36-91.77计算；原始口径同上 |
| 募资金额 | 公开发售募资额 | 未披露（截至2026-02-22） | 配发结果公告（需补原文PDF） |
| 募资金额 | 国际配售募资额 | 未披露（截至2026-02-22） | 配发结果公告（需补原文PDF） |
| 认购与中签 | 公开发售超额认购倍数 | 747.92倍 | 南财转述配发结果 |
| 认购与中签 | 国际配售超额认购倍数 | 23.57倍 | 南财转述配发结果 |
| 认购与中签 | 一手中签率 | 15.00% | 南财转述配发结果 |
| 认购与中签 | 稳获一手门槛 | 20手 | 南财转述配发结果 |
| 认购与中签 | 回拨后公开发售占比 | 未披露（截至2026-02-22） | 配发结果公告（需补原文PDF） |
| 基石投资者 | 基石投资者（示例） | 香港景林、工银理财、中邮理财、泰康人寿、华泰资本、GIC等 | 南财转述；最终以招股书“基石投资者”章节为准 |
