| 模块 | 条目 | 数值（统一单位） | 来源 |
|---|---|---|---|
| 基本信息 | 股票代码 | 02097 | 港交所披露易（公司上市后公告）https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0402/2025040201864_c.pdf |
| 基本信息 | 股票简称 | 蜜雪集团 | 港交所披露易（公司上市后公告）https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0402/2025040201864_c.pdf |
| 基本信息 | 公司全称 | 蜜雪冰城股份有限公司 | 港交所披露易（招股书）https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0221/2025022100010_c.pdf |
| 基本信息 | 上市市场 | 香港联交所主板 | 港交所披露易（公司上市后公告）https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0402/2025040201864_c.pdf |
| 基本信息 | 上市日期 | 2025-03-03 | 港交所披露易（公司上市后公告）https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0402/2025040201864_c.pdf |
| 基本信息 | 交易货币 | 港元（HKD） | 港交所披露易（招股书）https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0221/2025022100010_c.pdf |
| 时间线 | 招股开始日 | 2025-02-21 | 港交所披露易（招股书）https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0221/2025022100010_c.pdf |
| 时间线 | 招股截止日 | 2025-02-26 | 新浪财经（IPO认购报道）https://finance.sina.com.cn/wm/2025-02-24/doc-inemqtxk0803073.shtml |
| 时间线 | 定价公告日 | 2025-02-28 | 腾讯新闻转引配发结果口径 https://news.qq.com/rain/a/20250228A09USS00 |
| 时间线 | 挂牌交易日 | 2025-03-03 | 港交所披露易（公司上市后公告）https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0402/2025040201864_c.pdf |
| 发行与定价 | 发售价 | 202.50港元/股 | 腾讯新闻转引配发结果口径 https://news.qq.com/rain/a/20250228A09USS00 |
| 发行与定价 | 招股价区间下限 | 202.50港元/股 | 港交所披露易（招股书）https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0221/2025022100010_c.pdf |
| 发行与定价 | 招股价区间上限 | 202.50港元/股 | 港交所披露易（招股书）https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0221/2025022100010_c.pdf |
| 发行与定价 | 每手股数 | 100股/手 | 新浪财经行情页 https://stock.finance.sina.com.cn/hkstock/quotes/02097.html |
| 发行结构 | 全球发售股数（初始） | 17,059,900股 | 新浪财经（多家媒体转引招股文件）https://finance.sina.com.cn/wm/2025-02-24/doc-inemqtxk0803073.shtml |
| 发行结构 | 香港公开发售股数（初始） | 1,706,000股 | 南方都市报转引招股文件 https://m.mp.oeeee.com/a/BAAFRD0000202503031056152.html |
| 发行结构 | 国际发售股数（初始） | 15,353,900股 | 南方都市报转引招股文件 https://m.mp.oeeee.com/a/BAAFRD0000202503031056152.html |
| 发行结构 | 香港公开发售占比（初始） | 10.00% | 由初始股数计算（1,706,000/17,059,900） |
| 发行结构 | 国际发售占比（初始） | 90.00% | 由初始股数计算（15,353,900/17,059,900） |
