02589 沪上阿姨（AUNTEA JENNY）

散户可买的公开募资金额（按最终公开发售股数 × 最终价）：HK$1.3639亿（=13,638.54万）

计算口径：公开发售最终股数 1,205,670 股 × HK$113.12 = HK$136,385,390.4（≈HK$1.3639亿）

关键信息总表（≥50条）
条目	数据（统一单位：万/百万/亿；必要时保留原文）	来源
1. 股票代码	2589	
2. 股票简称	AUNTEA JENNY	
3. 公司英文名	Auntea Jenny (Shanghai) Industrial Co., Ltd.	
4. 交易开始日（挂牌日）	2025-05-08	
5. 最终发售价	HK$113.12/股	
6. 每手股数（暗盘/市场常用口径）	30股/手（暗盘报道口径）	
7. 全球发售总股数（未计绿鞋）	2,411,340股	
8. 公开发售股数（最终，已回拨）	1,205,670股	
9. 国际配售股数（最终）	1,205,670股	
10. 公开发售占全球发售比例（最终）	50%	
11. 国际配售占全球发售比例（最终）	50%	
12. 公开发售“初始”可供认购股数	241,140股	
13. 国际配售“初始”股数	2,170,200股	
14. 回拨是否触发	是（Claw-back triggered: Yes）	
15. 回拨触发原因阈值说明	因公开发售超购>100倍而按招股书机制回拨	
16. 全球发售总募资（总额，Gross proceeds）	HK$2.728亿（=272.8百万）	
17. 上市开支（估计，payable）	HK$0.778亿（=77.8百万）	
18. 净募资（Net proceeds，按上面开支口径）	HK$1.95亿（=195.0百万）	
19. 公告里对“实际净募资”额外说明	实际净募资约 HK$2.438亿（=243.8百万，因部分上市开支已入损益）	
20. 公开发售金额（按最终股数×最终价）	HK$1.3639亿（=13,638.54万）	
21. 国际配售金额（按最终股数×最终价）	HK$1.3639亿（=13,638.54万）	
22. 公开发售有效申请数	127,637份	
23. 公开发售成功申请数	28,238份	
24. 公开发售超额认购倍数	3,616.83倍	
25. 国际配售承配人数量（placees）	122名	
26. 国际配售认购倍数	2.57倍	
27. 上市后已发行股份数（未计绿鞋）	104,841,340股	
28. 超额配股（over-allocation）	361,680股	
29. 绿鞋（Over-allotment Option）后续是否全额行使	是，2025-06-01全额行使	
30. 绿鞋行使股数	361,680股（=不超过初始全球发售15%）	
31. 绿鞋行使价	HK$113.12/股（同发行价）	
32. 绿鞋股份开始买卖时间（预期）	2025-06-04 09:00	
33. 绿鞋额外净募资（公告披露）	约 HK$0.389亿（=38.9百万）	
34. 稳定价格期结束日	2025-06-01（即公开发售最后申请日后第30日）	
35. 稳定价格经理（stabilizing manager）	CLSA Limited（CLSA）	
36. 绿鞋前后总股本对比（绿鞋前）	104,841,340股（100%）	
37. 绿鞋前后总股本对比（绿鞋后）	105,203,020股（100%）	
38. 绿鞋后：全球发售新增H股占比	全球发售H股由2,411,340变为2,773,020，占总股本约2.64%	
39. 公众持股量（Public float）豁免	港交所批准：最低公众持股为“15.02%或更高者”	
40. 绿鞋前公众持股占比	约15.02%	
41. 绿鞋后公众持股占比	约15.31%	
42. “无单一承配人>10%”确认	上市后无承配人单独获配>10%扩大后股本	
43. “至少300名股东”确认	有（公告确认）	
44. 香港公开发售配售基准（Pool A）	见下方分层中签率（30股、60股…）	
45. 认购30股（1手）中签率	10.00%（2313/23133获配30股）	
46. 认购60股中签率	5.25%（1317/12541获配30股）	
47. 认购90股中签率	3.65%（737/6728获配30股）	
48. 认购300股中签率	1.45%（1544/10645获配30股）	
49. 认购3000股中签率	0.22%（1183/5375获配30股）	
50. 认购30000股中签率	0.04%（959/2397获配30股）	
51. Pool A成功人数	20,095	
52. Pool B：认购45,000股	获配60股；约0.13%	
53. Pool B：认购60,000股	60股 + 抽398/996再多30股；约0.12%	
54. Pool B：认购120,570股	90股 + 抽480/1631再多30股；约0.08%	
55. Pool B成功人数	8,143	
56. 回拨后公开发售最终股数再确认	1,205,670股，占全球发售50%	
57. 股权高度集中提示（公告Warning）	公告明确提示：持股集中、少量成交可致股价大幅波动	
58. H股股东集中度（上市时H股口径）Top 1（控股股东组）	上市时持有 43,321,180股H股，占H股约73.34%（绿鞋全行使后约72.90%）	
59. H股股东集中度 Top 5	上市时H股约89.13%（绿鞋后约88.58%）	
60. H股股东集中度 Top 10	上市时H股约95.51%（绿鞋后约94.92%）	
61. H股股东集中度 Top 25	上市时H股约98.56%（绿鞋后约97.96%）	
62. 暗盘（阿斯达克）富途平台收盘价	183.8港元，较上市价+62.5%	
63. 暗盘（阿斯达克）盘中高/低	最高188.5 / 最低113.12	
64. 暗盘涨幅（阿斯达克快讯口径）	暗盘收涨约62.48%（报183.8）	
65. 上市首日收盘价（新浪）	158.4港元	
66. 上市首日涨跌幅（新浪）	较发行价 +40.03%	
67. 绿鞋覆盖用途	用于覆盖国际配售的超额配售（over-allocations）	
