2590 极智嘉-W 一张大表（≥50行）
模块	条目	数值（统一万/亿）	主要来源
0 基本	股票代码	2590	
0 基本	股票简称	GEEKPLUS-W / 极智嘉-W	
0 基本	散户可买“公开募资金额”（按最终公开发售股数×发售价）	约 11.79 亿港元（70,176,600×16.80）	
0 基本	上市/开始买卖日期	2025-07-09	
0 基本	每手股数（board lot）	200 股/手	
0 基本	最终发售价	HK$16.80/股	
0 基本	发售价区间	N/A	
0 基本	是否行使“发售价调整”	N/A	
1 发售结构	全球发售股份数（计及发售量调整权、未计绿鞋）	16,140.58 万股	
1 发售结构	公开发售股份数（最终，after reallocation）	7,017.66 万股	
1 发售结构	国际发售股份数（最终，after reallocation+计及发售量调整权、未计绿鞋）	9,122.92 万股	
1 发售结构	公开发售占比（最终）	43.48%	
1 发售结构	国际发售占比（最终）	56.52%	
1 发售结构	公开发售初始可供认购股数	1,403.54 万股	
1 发售结构	由国际发售回拨至公开发售（clawback）	5,614.12 万股	
1 发售结构	是否触发回拨	是（Yes）	
1 发售结构	发售量调整权（Upsize / Offer Size Adjustment Option）	全数行使	
1 发售结构	发售量调整权新增股份数	2,105.28 万股（约15%）	
1 发售结构	发售量调整权分配去向	公开：0；国际：2,105.28 万股	
1 发售结构	发行后已发行股份数（未计绿鞋）	132,061.7198 万股	
2 募资金额	所得款项总额（Gross proceeds）	约 27.12 亿港元	
2 募资金额	估计上市开支（listing expenses）	约 1.67 亿港元	
2 募资金额	所得款项净额（Net proceeds）	约 25.45 亿港元	
2 募资金额	公开发售部分“按股数×价”对应金额	约 11.79 亿港元	
2 募资金额	国际发售部分“按股数×价”对应金额（未计绿鞋）	约 15.33 亿港元	
3 公开认购	有效申请数	94,292	
3 公开认购	成功申请数	39,481	
3 公开认购	公开发售认购倍数（计及发售量调整权前）	133.62 倍	
3 国际配售	国际发售承配人数（placees）	132	
3 国际配售	国际发售认购倍数（计及发售量调整权前）	30.17 倍	
4 中签/分配	1手（200股）分配/抽签描述（Pool A）	26,636 份申请中，1,134 份中 1手；对应“约4.26%”	
4 中签/分配	Pool A 成功申请人数	38,005	
4 中签/分配	Pool B 成功申请人数	1,476	
5 基石	基石合计获配股数（小计）	4,266.22 万股	
5 基石	基石：雄安智能机器人有限公司	1,930.00 万股（约 3.24 亿港元）	
5 基石	基石：Arc Avenue Asset Management	1,168.12 万股（约 1.96 亿港元）	
5 基石	基石：Eastspring Investments (Singapore)	700.86 万股（约 1.18 亿港元）	
5 基石	基石：Etarget Limited / 香港亿格	467.24 万股（约 0.78 亿港元）	
5 基石	基石占发行后H股比例（公告口径，小计）	4.23%	
6 包销/绿鞋	超额配股（over-allocation）股数	2,421.08 万股	
6 包销/绿鞋	（后续）绿鞋/超额配股权：部分行使	1,666.98 万股（约 2.80 亿港元）	
6 包销/绿鞋	绿鞋部分行使占“初始可供全球发售”比例	约 10.3%	
7 股本/公众持股	上市后公众持股（public float，未计绿鞋）	约 61.64%（H股口径计入公众持股）	
7 筹码集中	前10大股东持股集中度（公告表）	约 67.75%（*表内口径）	
7 筹码集中	前5大股东持股集中度（公告表）	约 48.11%（*表内口径）	
8 禁售/锁定	若干未上市股份股东锁定到期（示例）	多名股东锁定至 2026-07-08（公告表列示）	
9 风险提示	股权高度集中风险提示	公告“Warning: high concentration … price could move substantially …”	
10 上市首日（披露易外：新浪）	首日开盘	16.90（较招股 +0.6%）	
10 上市首日（披露易外：新浪）	首日最低/最高	16.06 / 17.80	
10 上市首日（披露易外：新浪）	首日收盘 / 涨跌幅	17.70 / +5.36%	
10 上市首日（披露易外：新浪）	首日成交量	7,838.35 万股	
10 上市首日（披露易外：新浪）	首日成交额	13.24 亿港元	
11 暗盘（AASTOCKS）	辉立暗盘收盘	16.58（较招股 -1.31%）	
11 暗盘（AASTOCKS）	辉立暗盘最高/最低	17.02 / 16.48	
11 暗盘（AASTOCKS）	辉立暗盘成交量（新闻口径）	692 万股	
11 暗盘（富途）	富途暗盘收盘	16.64（较招股 -0.95%）	
11 暗盘（富途）	富途暗盘成交额	超 1 亿港元（另有汇总口径约 1.02 亿）	
12 中介（披露易外：明报）	联席保荐人	摩根士丹利、中金公司	
12 招股（披露易外：明报）	入场费（1手200股）	3,393.89 港元	

上表已覆盖：全球发售/公开发售比例&金额、公开/国际认购倍数、回拨、分配表（含1手抽签口径）、基石明细、超额配股/绿鞋进度、上市首日与暗盘、筹码集中度、公众持股等；且“散户公开募资金额”已放在“股票简称”下一行。
