2595 劲方医药-B 一张大表（≥50行）
模块	条目	数值（统一万/亿）	来源
0 基本	股票代码	2595	
0 基本	公司英文名	GenFleet Therapeutics (Shanghai) Inc.	
0 基本	公司中文名	勁方醫藥科技(上海)股份有限公司	
0 基本	股票标记	“-B”（18A 生物科技）	
0 基本	上市日期（首日）	2025-09-19	
0 基本	每手股数（board lot）	200 股/手	
1 定价	最终发售价	HK$20.39/股	
1 募资	全球发售股份数（Offer Shares）	8,924.00 万股	
1 募资	香港公开发售占比	8.7%	
1 募资	国际发售占比	91.3%	
1 募资	香港公开发售股数（按 8.7% 估算）	约 776.00 万股	
1 募资	国际发售股数（按 91.3% 估算）	约 8,148.00 万股	
1 募资	募资总额（Gross proceeds）	约 18.20 亿港元	
1 募资	净筹资（Net proceeds）	约 16.70 亿港元	
1 散户额度	散户可买“公开募资金额”（公开发售部分）	约 1.58 亿港元（按报道口径）	
2 认购热度	香港公开发售超购倍数	2,662.79 倍	
2 认购热度	国际发售超购倍数	39.05 倍	
2 中签	1手中签率	0.08%	
2 中签	“稳中一手”门槛	认购 90 万股始获稳派 1 手	
2 中签	备注（市场口径）	“一手极难中”（低于 0.1%）	
3 结构/机制	发售量调整权（Offer Size Adjustment）	报道称“已行使”	
3 绿鞋/稳定期	绿鞋期满日（稳定期结束）	2025-10-16	
3 绿鞋/稳定期	绿鞋（超额配股权）行使情况	全数行使	
3 绿鞋/稳定期	绿鞋股份数（Over-allotment Shares）	1,338.60 万股（约占 15%）	
3 绿鞋/稳定期	绿鞋行使价	HK$20.39/股	
3 绿鞋/稳定期	绿鞋新增净筹	约 2.606 亿港元	
3 绿鞋/稳定期	绿鞋后：H股（全球发售+绿鞋）股数	10,262.60 万股	
3 股本结构	绿鞋前：公司总股本	35,698.0630 万股	
3 股本结构	绿鞋后：公司总股本	37,036.6630 万股	
3 股本结构	绿鞋前：全球发售H股占总股本	25.00%	
3 股本结构	绿鞋后：全球发售H股占总股本	27.71%	
3 股本结构	绿鞋后：公众持股（public float）	约 73.03%（H股计入公众持股口径）	
4 暗盘（AASTOCKS）	辉立暗盘开盘	40.00	
4 暗盘（AASTOCKS）	辉立暗盘最高/最低	45.58 / 38.00	
4 暗盘（AASTOCKS）	辉立暗盘收盘	41.22（较发行 +102.2%）	
4 暗盘（AASTOCKS）	辉立暗盘成交量	501 万股	
4 暗盘（AASTOCKS）	辉立暗盘成交额	2.13 亿港元	
4 暗盘（AASTOCKS）	辉立暗盘每手账面盈利	4,166 港元/手	
4 暗盘（AASTOCKS）	富途暗盘开盘	40.00	
4 暗盘（AASTOCKS）	富途暗盘最高/最低	45.60 / 20.39	
4 暗盘（AASTOCKS）	富途暗盘收盘	42.84（较发行 +110.1%）	
4 暗盘（AASTOCKS）	富途暗盘成交量	495.74 万股	
4 暗盘（AASTOCKS）	富途暗盘成交额	2.14 亿港元	
4 暗盘（AASTOCKS）	富途暗盘每手账面盈利	4,490 港元/手	
4 暗盘（新浪）	利弗莫尔暗盘收盘（新浪转载）	41.22（+102.16%）	
4 暗盘（新浪）	暗盘每手盈利（新浪转载）	4,166 港元/手	
5 首日（第三方汇总）	首日开盘（市场口径）	约 44.00（+115.79%）	
5 首日（第三方汇总）	首日收盘（市场口径）	约 42.10（+106.47%）	
5 首日（第三方汇总）	首日最高/最低（市场口径）	50.20 / 42.00	
5 首日（第三方汇总）	首日每手账面盈利（按收盘口径）	约 4,342 港元/手	
6 孖展（市场报道）	孖展认购额（报道口径）	约 3,498.5 亿港元	
6 孖展（市场报道）	以公开发售集资额计孖展超购	约 2,210 倍	
7 基石（市场报道）	基石投资者数量	9 名	
7 基石（市场报道）	基石合计认购金额	1 亿美元（约 7.80 亿港元）	
7 中介（市场报道）	独家保荐人	中信证券	
7 中介（市场报道）	其他联席全球协调人（节选）	交银国际、复星国际证券、农银国际、建银国际等	
8 资金用途（第三方整理）	净筹约用途分配（4项）	33%/38%/19%/10%（研发+营运）	
9 稳定期动作	稳定期内是否有市场回购稳定价格	公告称：没有为稳定价格而在市场买卖H股	
9 交易要点	暗盘→首日价差	暗盘（42.84） vs 首日开（约44）“高波动”	
