2603 吉宏股份｜上市前一天（配发结果公告口径）一张大表（披露易为主 + 三方补充）

核心源文件：《ANNOUNCEMENT OF FINAL OFFER PRICE AND ALLOTMENT RESULTS》2025-05-26

类别	条目	数值（统一单位：万/亿；股数用万股）	备注/口径	来源
基本信息	股票代码	2603		
基本信息	公司/英文简称	JIHONG CO	Stock short name	
基本信息	散户可买：公开募资金额（按最终公开发售股数×发售价）	约 1.5646亿港元	20,373,000股 × 7.68港元；未含手续费；供你“散户资金面”估算	
基本信息	预期开始买卖/上市日	2025-05-27	Dealings commencement date	
定价	发售价区间	7.48–10.68港元	Offer Price Range	
定价	最终发售价	7.68港元	Final Offer Price	
定价	面值	每股1.00人民币	Nominal value	
发行结构	全球发售总股数	6,791.00万股H股	Number of Offer Shares	
发行结构	香港公开发售股数（回拨后）	2,037.30万股H股	Final HK Offer Shares after reallocation	
发行结构	国际发售股数（回拨后）	4,753.70万股H股	Final International Offer Shares after reallocation	
发行结构	上市时已发行股份数	45,267.9288万股	Number of issued Shares upon Listing	
募资规模	全球发售总募资（毛额）	5.215亿港元	Gross proceeds	
募资规模	上市开支（估计）	1.064亿港元	Estimated listing expenses	
募资规模	净募资	4.152亿港元	Net proceeds	
公开发售（散户）	公开发售比例（回拨后）	30.00%	占全球发售	
公开发售（散户）	公开发售金额（按股数×发售价）	约 1.5646亿港元	2,037.3万股×7.68港元；未含手续费	
国际发售（机构）	国际发售比例（回拨后）	70.00%	占全球发售	
国际发售（机构）	国际发售金额（按股数×发售价）	约 3.6508亿港元	4,753.7万股×7.68港元；未含手续费	
回拨机制	公开发售初始股数	679.10万股H股	initially available	
回拨机制	回拨触发	是	Claw-back triggered	
回拨机制	自国际发售回拨至公开发售	1,358.20万股H股	reallocated from International	
回拨机制	回拨后公开发售股数	2,037.30万股H股	Final HK Offer Shares	
公开发售申购	有效申请数	18,521份	No. of valid applications	
公开发售申购	成功申请数	11,937份	No. of successful applications	
公开发售申购	公开发售超额认购倍数	49.39倍	Subscription level	
国际发售申购	国际发售承配人数量	132名	No. of placees	
国际发售申购	国际发售认购倍数	1.62倍	Subscription level	
基石投资者	基石合计获配	2,024.00万股H股	Subtotal	
基石投资者	基石占发售股份比例	29.80%	占Offer Shares	
基石投资者	Timber Kangaroo获配	303.60万股H股		
基石投资者	Timber Kangaroo占发售	4.47%	占Offer Shares	
基石投资者	Yulong International获配	708.40万股H股		
基石投资者	Yulong International占发售	10.43%	占Offer Shares	
基石投资者	沈臻宇女士获配	1,012.00万股H股		
基石投资者	沈臻宇女士占发售	14.90%	占Offer Shares	
关联客户配售	获豁免同意承配人	CICC Financial Trading Limited	connected client（获交易所同意）	
关联客户配售	CICC FT获配股数	1.00万股H股	10,000 shares	
关联客户配售	CICC FT占发售	0.015%		
锁定期（大股东）	Single Largest Group：莊浩持股（锁定）	6,962.3082万股	%=15.38%	
锁定期（大股东）	莊浩锁定期到期日	2025-11-26	First six-month period ends	
锁定期（大股东）	莊樹持股（锁定）	3,467.1025万股	%=7.66%	
锁定期（大股东）	莊樹锁定期到期日	2025-11-26		
锁定期（基石）	Timber Kangaroo锁定到期日	2025-11-26	cornerstone lock-up ends	
锁定期（基石）	Yulong International锁定到期日	2025-11-26		
锁定期（基石）	沈臻宇女士锁定到期日	2025-11-26		
集中度（配售）	配售Top1获配	1,873.35万股	占国际发售39.41%；占总发售27.59%	
集中度（配售）	配售Top5获配	4,140.35万股	占国际发售87.10%；占总发售60.97%	
集中度（配售）	配售Top10获配	4,705.00万股	占国际发售98.98%；占总发售69.28%	
集中度（配售）	配售Top25获配	4,745.55万股	占国际发售99.83%；占总发售69.88%	
风险/合规披露	“无人被公司/关联方融资认购”声明	已披露	董事确认条款（融资/指示等）	
查询渠道	公售分配结果查询	eipo.com.hk/eIPOAllotment	公告给出的官方查询	
——	——	——	——	——
三方补充（阿斯达克）	一手中签率	50%	一手=500股；并给到“认购6,000股稳派一手”的描述	
三方补充（阿斯达克）	暗盘收盘价（AASTOCKS口径）	9.51港元	文中明确“暗盘昨日收9.51元”	
三方补充（新浪）	暗盘收盘价（Livermore口径）	9.610港元	新浪转述利弗莫尔暗盘	
三方补充（新浪）	暗盘涨幅（对比发售价7.68）	+25.13%	新浪文中给出	
三方补充（新浪）	暗盘每手盈利（不计手续费）	965港元/手	每手500股	
三方补充（阿斯达克）	首日开盘价	11.00港元	较上市价+43.2%	
三方补充（阿斯达克）	首日最高/最低	12.46 / 10.20港元	日内波动区间	
三方补充（阿斯达克）	首日收盘价	10.68港元	较上市价+39.1%	
三方补充（阿斯达克）	首日成交量	5,669.95万股	AASTOCKS披露“全日成交5,669.95万…”	

以上表已超过 50 行（含三方补充），并把你要的：中签率、公开募资（比例+金额）、全球募资（比例+金额）、国际配售倍数、回拨、基石、锁定期、集中度等全部纳入。
