【2691 南华期货股份】

| 模块 | 条目 | 数值（统一单位） | 来源 |
| --- | --- | ---: | --- |
| 0 基本 | 股票代码 | 2691（02691） | 披露易检索页[1] |
| 0 基本 | 股票简称（交易简称） | 南华期货股份 | 披露易检索页[1] |
| 0 基本 | 英文简称（待核） | NANHUA FUTURES | 披露易检索页[1] |
| ★ 重点 | 散户募资金额 | 未披露（截至2026-02-22；最终价×公开发售最终股数） | 披露易配发结果[2] |
| ★ 重点 | 配售超购倍数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| ★ 重点 | 公开发售超购倍数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| ★ 重点 | 回拨（Claw-back） | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| ★ 重点 | 绿鞋（Over-allocation） | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 0 基本 | 开始买卖日 | 2025-12-22 | 项目索引页[8] |
| 0 基本 | 每手（board lot） | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 0 基本 | 稳定价格期结束日 | 未披露（截至2026-02-22） | 披露易稳价公告[4] |
| 0 基本 | 结算货币 | 港元（HKD） | 交易规则通用 |

| 1 定价 | 招股价区间下限 | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 1 定价 | 招股价区间上限 | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 1 定价 | 招股价区间 | 未披露（截至2026-02-22） | 披露易招股书[3] |
| 1 定价 | 最终发售价 | HK$12.0/股 | 项目索引页[8] |
| 1 定价 | 与区间上限偏离 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 定价 | 与区间下限偏离 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 定价 | 面值 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 定价 | 价格调整机制 | 未披露（截至2026-02-22；是否有Offer Price Adjustment） | 披露易配发结果[2] |

| 1 发行规模 | 发售股份总数（Offer Shares） | 1.08亿股 | 项目索引页[8] |
| 1 发行规模 | 公开发售初始股数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 发行规模 | 国际发售初始股数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 发行规模 | 公开发售最终股数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 发行规模 | 国际发售最终股数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 发行规模 | 上市时已发行股份 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 发行结构 | 公开发售占比（初始） | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 发行结构 | 国际发售占比（初始） | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 发行结构 | 公开发售占比（最终） | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 发行结构 | 国际发售占比（最终） | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 发行结构 | 回拨净变化股数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 绿鞋/扩容 | 发售量调整权（Upsize） | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 绿鞋/扩容 | 超额分配股数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 1 绿鞋/扩容 | 超额配股权行使比例 | 未披露（截至2026-02-22） | 披露易稳价公告[4] |
| 1 绿鞋/扩容 | 超额配股权行使价格 | 未披露（截至2026-02-22） | 披露易稳价公告[4] |

| 2 募资金额 | 募资总额（Gross proceeds） | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 2 募资金额 | 估算上市费用 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 2 募资金额 | 净筹资（Net proceeds） | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 2 募资金额 | 公开发售募资金额（按最终价） | 未披露（截至2026-02-22） | 披露易配发结果[2]（计算） |
| 2 募资金额 | 国际发售募资金额（按最终价） | 未披露（截至2026-02-22） | 披露易配发结果[2]（计算） |
| 2 募资金额 | 募资总额-净筹资差额 | 未披露（截至2026-02-22） | 披露易配发结果[2]（计算） |
| 2 募资金额 | 费用率（上市费用/募资总额） | 未披露（截至2026-02-22） | 披露易配发结果[2]（计算） |

| 3 公开发售 | 有效申请数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 3 公开发售 | 成功申请数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 3 公开发售 | 公开发售超购倍数 | 未披露（截至2026-02-22） | 披露易配发结果[2] |
| 3 公开发售 | 一手中签率 | 未披露（截至2026-02-22） | 披露易配发表[2] |
| 3 公开发售 | 申购X手稳中1手阈值 | 未披露（截至2026-02-22） | 披露易配发表[2] |
| 3 公开发售 | 甲组（A）分配策略 | 未披露（截至2026-02-22） | 披露易配发表[2] |
| 3 公开发售 | 乙组（B）分配策略 | 未披露（截至2026-02-22） | 披露易配发表[2] |
