# 01276（恒瑞医药）关键信息总表（披露易 + 第三方补充，一张表）

> 口径规则：披露易优先；披露易缺失字段用富途IPO页/阿斯达克/新浪补充。
> 金额显示规则：统一用“亿/千万”，保留1位小数。

| 类别 | 字段 | 数值 | 来源类型 | 来源 |
|---|---|---|---|---|
| 基本信息 | 股票代码 | 01276 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 基本信息 | 股票名称 | 恒瑞医药 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 基本信息 | 上市日期 | 2025-05-23 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行定价 | 发售价 | HK$44.050 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行规模 | 发行量 | 2.25亿 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行规模 | 全球发售股份 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 全球发售拆分 | 香港公开发售股份 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 全球发售拆分 | 国际发售股份 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 募资金额 | 公开招募金额 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 募资金额 | 国际发售金额（当前口径=总募资） | 99.1亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 募资金额 | 募资总额 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 公开发售 | 公开发售超购倍数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 公开发售 | 一手中签率 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 公开发售 | 有效申请数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 公开发售 | 成功申请数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 国际发售 | 国际发售超购倍数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 国际发售 | 承配人数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 稳价/绿鞋 | 是否行使超额配股权 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 稳价/绿鞋 | 稳定价格期截止日 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 股本信息 | 每手股数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 股本信息 | 上市后总股本 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 股本信息 | 每股面值 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=1276 |
| 行情（快照） | 最新价 | HK$70.900 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 涨跌幅 | +0.93% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 连涨天数 | 7 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 成交量 | 78.18万 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 成交额 | 5478.51万 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 换手率 | 0.30% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 市盈率(静) | 68.77 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 总市值 | 4705.77亿 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 总市值（统一金额） | 4705.8亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 暗盘 | 暗盘涨跌额 | +14.200 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 暗盘 | 暗盘涨跌幅 | +32.24% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 首日表现 | 首日涨幅 | +25.20% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 首日表现 | 累计涨幅 | +60.95% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 首日表现 | 首日开盘价 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=01276 |
| 首日表现 | 首日最高价 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=01276 |
| 首日表现 | 首日最低价 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=01276 |
| 首日表现 | 首日收盘价 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/01276.html |
| 首日成交 | 首日成交量 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=01276 |
| 首日成交 | 首日成交额 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/01276.html |
