# 02609（佰泽医疗）关键信息总表（披露易 + 第三方补充，一张表）

> 口径规则：披露易优先；披露易缺失字段用富途IPO页/阿斯达克/新浪补充。
> 金额显示规则：统一用“亿/千万”，保留1位小数。

| 类别 | 字段 | 数值 | 来源类型 | 来源 |
|---|---|---|---|---|
| 基本信息 | 股票代码 | 02609 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 基本信息 | 股票名称 | 佰泽医疗 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 基本信息 | 上市日期 | 2025-06-23 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行定价 | 发售价 | HK$4.220 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行规模 | 发行量 | 1.33亿 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行规模 | 全球发售股份（估算） | 133,000,000 股 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 全球发售拆分 | 香港公开发售股份（估算10%） | 13,300,000 股 | 第三方补充 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 全球发售拆分 | 国际发售股份（估算90%） | 119,700,000 股 | 第三方补充 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 募资金额 | 公开招募金额（估算） | 5.6千万港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 募资金额 | 国际发售金额（当前口径=总募资） | 5.6亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 募资金额 | 募资总额（估算） | 5.6亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 公开发售 | 公开发售超购倍数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 公开发售 | 一手中签率 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 公开发售 | 有效申请数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 公开发售 | 成功申请数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 国际发售 | 国际发售超购倍数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 国际发售 | 承配人数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 稳价/绿鞋 | 是否行使超额配股权 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 稳价/绿鞋 | 稳定价格期截止日 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 股本信息 | 每手股数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 股本信息 | 上市后总股本 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 股本信息 | 每股面值 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2609 |
| 行情（快照） | 最新价 | HK$3.470 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 涨跌幅 | +0.29% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
