# 02650（挚达科技）关键信息总表（披露易 + 第三方补充，一张表）

> 口径规则：披露易优先；披露易缺失字段用富途IPO页/阿斯达克/新浪补充。
> 金额显示规则：统一用“亿/千万”，保留1位小数。

| 类别 | 字段 | 数值 | 来源类型 | 来源 |
|---|---|---|---|---|
| 基本信息 | 股票代码 | 02650 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 基本信息 | 股票名称 | 挚达科技 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 基本信息 | 上市日期 | 2025-10-10 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行定价 | 发售价 | HK$66.920 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行规模 | 发行量 | 597.89万 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行规模 | 全球发售股份 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 全球发售拆分 | 香港公开发售股份 | 未知 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 全球发售拆分 | 国际发售股份 | 未知 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 募资金额 | 公开招募金额 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 募资金额 | 国际发售金额（当前口径=总募资） | 4.0亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 募资金额 | 募资总额 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 公开发售 | 公开发售超购倍数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 公开发售 | 一手中签率 | 未知 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 公开发售 | 有效申请数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 公开发售 | 成功申请数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 国际发售 | 国际发售超购倍数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 国际发售 | 承配人数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 稳价/绿鞋 | 是否行使超额配股权 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 稳价/绿鞋 | 稳定价格期截止日 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 股本信息 | 每手股数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 股本信息 | 上市后总股本 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 股本信息 | 每股面值 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 行情（快照） | 最新价 | HK$265.400 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 涨跌幅 | -4.19% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 连涨天数 | 10 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 成交量 | 2.06万 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 成交额 | 535.13万 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 换手率 | 0.03% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 市盈率(静) | -61.52 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 总市值 | 158.68亿 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 总市值（统一金额） | 158.7亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 暗盘 | 暗盘涨跌额 | +121.380 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 暗盘 | 暗盘涨跌幅 | +181.38% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 首日表现 | 首日涨幅 | +192.14% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 首日表现 | 累计涨幅 | +296.59% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 首日表现 | 首日开盘价 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02650 |
| 首日表现 | 首日最高价 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02650 |
| 首日表现 | 首日最低价 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02650 |
| 首日表现 | 首日收盘价 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/02650.html |
| 首日成交 | 首日成交量 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02650 |
| 首日成交 | 首日成交额 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/02650.html |
| 每手盈亏 | 每手打新成本 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 每手盈亏 | 每手账面盈亏（首日） | 待定 | 第三方补充 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02650 |
| 基石投资者 | 基石投资者合计获配 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 基石投资者 | 基石锁定期 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 公众持股 | 上市后公众持股比例 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 公众持股 | 自由流通量合规 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 上市合规 | 是否满足公众股东人数要求 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 上市合规 | 是否存在高度集中风险提示 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 公司概况 | 主营业务 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02650 |
| 公司概况 | 所属行业 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02650 |
| 财务摘要 | 最近年度收入 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/02650.html |
| 财务摘要 | 最近年度净利润 | 待定 | 新浪 | https://stock.finance.sina.com.cn/hkstock/quotes/02650.html |
| 财务摘要 | 毛利率 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02650 |
| 财务摘要 | 资产负债率 | 待定 | 阿斯达克 | https://www.aastocks.com/sc/stocks/analysis/company-fundamental/?symbol=02650 |
| 募资用途 | 募资用途1 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 募资用途 | 募资用途2 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 募资用途 | 募资用途3 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 募资用途 | 募资用途4 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 风险提示 | 主要风险因素1 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 风险提示 | 主要风险因素2 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
| 风险提示 | 主要风险因素3 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2650 |
