# 02706（海致科技集团）关键信息总表（披露易 + 第三方补充，一张表）

> 口径规则：披露易优先；披露易缺失字段用富途IPO页/阿斯达克/新浪补充。
> 金额显示规则：统一用“亿/千万”，保留1位小数。

| 类别 | 字段 | 数值 | 来源类型 | 来源 |
|---|---|---|---|---|
| 基本信息 | 股票代码 | 02706 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 基本信息 | 股票名称 | 海致科技集团 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 基本信息 | 上市日期 | 2026-02-13 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行定价 | 发售价 | HK$27.060 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行规模 | 发行量 | 2803.02万 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行规模 | 全球发售股份 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 全球发售拆分 | 香港公开发售股份 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 全球发售拆分 | 国际发售股份 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 募资金额 | 公开招募金额 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 募资金额 | 国际发售金额（当前口径=总募资） | 7.6亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 募资金额 | 募资总额 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 公开发售 | 公开发售超购倍数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 公开发售 | 一手中签率 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 公开发售 | 有效申请数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 公开发售 | 成功申请数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 国际发售 | 国际发售超购倍数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 国际发售 | 承配人数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 稳价/绿鞋 | 是否行使超额配股权 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 稳价/绿鞋 | 稳定价格期截止日 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 股本信息 | 每手股数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 股本信息 | 上市后总股本 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 股本信息 | 每股面值 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=2706 |
| 行情（快照） | 最新价 | HK$120.000 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 涨跌幅 | +29.59% | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 连涨天数 | 2 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 成交量 | 595.65万 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 成交额 | 6.85亿 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
