# 02720（乐欣户外）关键信息总表（披露易 + 第三方补充，一张表）

> 口径规则：披露易优先；披露易缺失字段用富途/阿斯达克/新浪补充。  
> 你定义的金额口径：
> - 公开招募金额 = 香港公开发售股份 × 发售价
> - 国际发售金额（当前项目定义）= 总发售股份 × 发售价
> 金额显示规则：优先用“亿/千万”，保留1位小数。

| 类别 | 字段 | 数值 | 来源类型 | 来源 |
|---|---|---|---|---|
| 基本信息 | 股票代码 | 02720 | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0209/2026020901097_c.pdf |
| 基本信息 | 股票简称 | RIDGE OUTDOOR（乐欣户外） | 披露易 | 同上 |
| 基本信息 | 上市/开始买卖日 | 2026-02-10 | 披露易 | 同上 |
| 发行定价 | 发售价 | HK$12.25/股 | 披露易 | 同上 |
| 交易单位 | 每手 | 500股（招股章程） | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0130/2026013002015_c.pdf |
| 全球发售 | 全球发售股份 | 28,205,000 股 | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0209/2026020901097_c.pdf |
| 全球发售拆分 | 香港公开发售股份 | 2,820,500 股（10%） | 披露易 | 同上 |
| 全球发售拆分 | 国际发售股份 | 25,384,500 股（90%） | 披露易 | 同上 |
| 募资金额 | 公开招募金额（散户） | 0.3亿港元（3,455.1万） | 披露易+计算 | 2,820,500 × 12.25 |
| 募资金额 | 国际发售金额（当前口径=总募资） | 3.5亿港元（34,551.1万） | 披露易+计算 | 28,205,000 × 12.25 |
| 募资金额 | 募资总额（Gross proceeds） | 3.5亿港元（34,550.0万） | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0209/2026020901097_c.pdf |
| 募资金额 | 估算上市费用 | 0.6亿港元（6,040.0万） | 披露易 | 同上 |
| 募资金额 | 净筹资（Net proceeds） | 2.9亿港元（28,520.0万） | 披露易 | 同上 |
| 公开发售 | 有效申请数 | 111,036 | 披露易 | 同上 |
| 公开发售 | 成功申请数 | 5,641 | 披露易 | 同上 |
| 公开发售 | 公开发售超购倍数 | 3,654.23 倍 | 披露易 | 同上 |
| 公开发售 | 是否触发回拨 | 否（重新分配：不适用） | 披露易 | 同上 |
| 公开发售 | 一手（500股）中签率 | 1.00%（56,367人中564人获500股） | 披露易 | 同上（甲组分配基准） |
| 公开发售 | 甲组成功申请人数 | 2,821 | 披露易 | 同上 |
| 公开发售 | 乙组成功申请人数 | 2,820 | 披露易 | 同上 |
| 国际发售 | 国际发售超购倍数 | 2.94 倍 | 披露易 | 同上 |
| 国际发售 | 承配人数量 | 74 | 披露易 | 同上 |
| 国际发售 | 承配人集中度（最大） | 占国际发售25.73%；占发售总数23.15% | 披露易 | 同上（承配人集中度分析） |
| 国际发售 | 承配人集中度（前5） | 占国际发售66.56%；占发售总数59.90% | 披露易 | 同上 |
| 国际发售 | 承配人集中度（前10） | 占国际发售88.10%；占发售总数79.29% | 披露易 | 同上 |
| 国际发售 | 承配人集中度（前25） | 占国际发售99.84%；占发售总数89.85% | 披露易 | 同上 |
| 股东集中度（上市后） | 最大股东占比 | 73.92% | 披露易 | 同上（股東集中度分析） |
| 股东集中度（上市后） | 前5股东占比 | 88.33% | 披露易 | 同上 |
| 股东集中度（上市后） | 前10股东占比 | 93.99% | 披露易 | 同上 |
| 股东集中度（上市后） | 前25股东占比 | 97.75% | 披露易 | 同上 |
| 稳价/绿鞋 | 超额配股权（绿鞋） | 公告正文未列明（待后续公告核对） | 披露易 | 同上 |
| 股本（绿鞋前） | 上市后已发行股份 | 128,205,000 股 | 披露易 | 同上 |
| 股本信息 | 每股面值 | US$0.0005 | 披露易 | 同上 |
| 基石 | 基石合计获配 | 10,612,000 股（占发售37.62%；占上市后股本8.28%） | 披露易 | 同上 |
| 基石 | 基石投资者明细 | 地平綫創投、黃山德鈞 | 披露易 | 同上 |
| 公众持股/自由流通 | 公众持股比例（上市后） | 26.08%（高于25%最低要求） | 披露易 | 同上（公眾持股量與自由流通量） |
| 公众持股/自由流通 | 自由流通量合规 | 符合上市规则8.08A（基石12个月禁售不计入） | 披露易 | 同上 |
| 上市合规 | 公众股东人数下限 | 至少300名股东（已满足） | 披露易 | 同上 |
| 上市合规 | 配售集中度限制 | 无单一承配人获配超过上市后10% | 披露易 | 同上 |
| 控股股东禁售 | 首6个月禁售期截止 | 2026-08-09 | 披露易 | 同上（禁售承諾） |
| 控股股东禁售 | 第二个6个月禁售期截止 | 2027-02-09 | 披露易 | 同上 |
| 资金热度（孖展） | 招股期孖展认购金额 | 富途IPO页未提供（待阿斯达克/媒体） | 第三方 | 富途IPO页 + 阿斯达克检索 |
| 资金热度（孖展） | 孖展超购口径 | 富途IPO页未提供（待阿斯达克/媒体） | 第三方 | 富途IPO页 + 阿斯达克检索 |
| 暗盘 | 暗盘涨跌额 | +12.230 | 富途（IPO列表） | https://www.futunn.com/quote/hk/ipo |
| 暗盘 | 暗盘涨跌幅 | +99.84% | 富途（IPO列表） | 同上 |
| 首日表现 | 首日涨幅 | +102.29% | 富途（IPO列表） | 同上 |
| 首日表现 | 累计涨幅（当前） | +145.22% | 富途（IPO列表） | 同上 |
| 首日表现 | 首日开/高/收 | 富途IPO页未提供开高收（待阿斯达克/新浪） | 第三方 | 富途IPO页 + 阿斯达克/新浪检索 |
| 首日成交 | 首日成交量/成交额 | 富途IPO页未提供首日成交明细（待阿斯达克/新浪） | 第三方 | 富途IPO页 + 阿斯达克/新浪检索 |
| 每手盈亏（首日） | 一手账面盈亏 | 约 +6,265.3港元（按富途首日涨幅102.29%反推） | 计算字段 | 12.25×(1+102.29%) 与发售价差额 ×500 |
| 行情（快照） | 最新价 | HK$30.040 | 富途（IPO列表） | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 成交量 | 32.04万 | 富途（IPO列表） | 同上 |
| 行情（快照） | 成交额 | 904.28万 | 富途（IPO列表） | 同上 |
| 行情（快照） | 总市值 | 38.51亿 | 富途（IPO列表） | 同上 |

## 备注
- 现在这版已经对齐你说的“条目更完整”的风格，并把金额统一成“亿/千万、1位小数”。
- “资金热度（孖展）/首日开高低收/首日成交明细”优先从富途、阿斯达克、新浪补；目前可稳定抓到的是富途IPO列表字段，其余页面存在反爬或文本缺失，后续继续补齐。
