# 03750（宁德时代）关键信息总表（披露易 + 第三方补充，一张表）

> 口径规则：披露易优先；披露易缺失字段用富途IPO页/阿斯达克/新浪补充。
> 金额显示规则：统一用“亿/千万”，保留1位小数。

| 类别 | 字段 | 数值 | 来源类型 | 来源 |
|---|---|---|---|---|
| 基本信息 | 股票代码 | 03750 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=3750 |
| 基本信息 | 股票名称 | 宁德时代 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 基本信息 | 上市日期 | 2025-05-20 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行定价 | 发售价 | HK$263.000 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行规模 | 发行量 | 1.36亿 | 富途IPO页 | https://www.futunn.com/quote/hk/ipo |
| 发行规模 | 全球发售股份（估算） | 136,000,000 股 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 全球发售拆分 | 香港公开发售股份（估算10%） | 13,600,000 股 | 第三方补充 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=3750 |
| 全球发售拆分 | 国际发售股份（估算90%） | 122,400,000 股 | 第三方补充 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=3750 |
| 募资金额 | 公开招募金额（估算） | 35.8亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 募资金额 | 国际发售金额（当前口径=总募资） | 357.7亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 募资金额 | 募资总额（估算） | 357.7亿港元 | 第三方补充 | https://www.futunn.com/quote/hk/ipo |
| 公开发售 | 公开发售超购倍数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=3750 |
| 公开发售 | 一手中签率 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=3750 |
| 公开发售 | 有效申请数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=3750 |
| 公开发售 | 成功申请数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=3750 |
| 国际发售 | 国际发售超购倍数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=3750 |
| 国际发售 | 承配人数 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=3750 |
| 稳价/绿鞋 | 是否行使超额配股权 | 待定 | 披露易 | https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=zh&market=SEHK&stockId=3750 |
