# 03858（佳鑫国际资源）关键信息总表（披露易 + 第三方补充，一张表）

> 口径规则：披露易优先；披露易缺失字段用富途/阿斯达克/新浪补充。  
> 金额显示规则：优先用“亿/千万”，保留1位小数。  
> 金额计算口径（按你要求）：
> - 公开招募金额 = 香港公开发售股份 × 发售价
> - 国际发售金额（当前项目定义）= 总发售股份 × 发售价

| 类别 | 字段 | 数值 | 来源类型 | 来源 |
|---|---|---|---|---|
| 基本信息 | 股票代码 | 03858 | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0827/2025082702294_c.pdf |
| 基本信息 | 股票简称 | JIAXIN INTL RES（佳鑫国际资源） | 披露易 | 同上 |
| 基本信息 | 上市/开始买卖日 | 2025-08-28 | 披露易 | 同上 |
| 发行定价 | 最终发售价 | HK$10.92/股 | 披露易 | 同上 |
| 股本信息 | 每股面值 | US$0.01 | 披露易（招股） | https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0820/2025082000022_c.pdf |
| 交易单位 | 每手 | 400 股 | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0827/2025082702294_c.pdf |
| 全球发售 | 全球发售股份 | 109,808,800 股 | 披露易 | 同上 |
| 全球发售拆分 | 香港公开发售股份 | 10,981,200 股（10%） | 披露易 | 同上 |
| 全球发售拆分 | 国际发售股份 | 98,827,600 股（90%） | 披露易 | 同上 |
| 全球发售拆分 | 超额分配股份 | 16,471,200 股 | 披露易 | 同上 |
| 募资金额 | 公开招募金额（散户） | 1.2亿港元（11,992.0万） | 披露易+计算 | 10,981,200 × 10.92 |
| 募资金额 | 国际发售金额（当前口径=总募资） | 12.0亿港元（119,910.4万） | 披露易+计算 | 109,808,800 × 10.92 |
| 募资金额 | 募资总额（Gross proceeds） | 12.0亿港元（119,910.0万） | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0827/2025082702294_c.pdf |
| 募资金额 | 估算上市费用 | HK$111.4 million | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0827/2025082702294_c.pdf |
| 募资金额 | 净筹资（Net proceeds） | 10.9亿港元（108,770.0万） | 披露易 | 同上 |
| 公开发售 | 有效申请数 | 164,446 | 披露易 | 同上 |
| 公开发售 | 成功申请数 | 5,533 | 披露易 | 同上 |
| 公开发售 | 公开发售超购倍数 | 2,041.62 倍 | 披露易 | 同上 |
| 公开发售 | 是否触发回拨 | 否（最终仍为10%） | 披露易 | 同上 |
| 公开发售 | 一手（400股）中签率 | 1.00%（32,713人中327人获400股） | 披露易 | 同上（分配准则） |
| 国际发售 | 国际发售超购倍数 | 21.11 倍 | 披露易 | 同上 |
| 国际发售 | 承配人数量 | 149（含AIX发售6名） | 披露易 | 同上 |
| 基石 | 基石合计获配 | 54,904,400 股（占发售50.00%；占上市后股本12.50%） | 披露易 | 同上 |
| 基石 | 基石禁售期 | 上市后6个月（至2026-02-27） | 披露易 | 同上（禁售承诺） |
| 稳价/绿鞋 | 绿鞋（超额配股权） | 15%（上市前一日尚未行使） | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0827/2025082702294_c.pdf |
| 稳价/绿鞋 | 超额配股权行使公告 | 已悉数行使 | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0828/2025082802773_c.pdf |
| 稳价/绿鞋 | 绿鞋悉数行使后总股本 | 455,700,000 股 | 披露易 | 同上 |
| 稳价/绿鞋 | 稳定价格期结束公告 | 已发布（2025-09-24） | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0924/2025092401051_c.pdf |
| 承配人集中度 | 最大承配人 | 占国际发售27.80%；占发售总数25.02% | 披露易 | https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0827/2025082702294_c.pdf |
| 承配人集中度 | 前5承配人 | 占国际发售71.93%；占发售总数64.73% | 披露易 | 同上 |
| 承配人集中度 | 前10承配人 | 占国际发售89.68%；占发售总数80.71% | 披露易 | 同上 |
| 承配人集中度 | 前25承配人 | 占国际发售103.87%；占发售总数93.48% | 披露易 | 同上（含AIX分配口径） |
| 股东集中度（上市后） | 最大股东占比 | 32.51%（绿鞋未行使口径） | 披露易 | 同上 |
| 股东集中度（上市后） | 前5股东占比 | 85.35%（绿鞋未行使口径） | 披露易 | 同上 |
| 股东集中度（上市后） | 前10股东占比 | 93.30%（绿鞋未行使口径） | 披露易 | 同上 |
| 股东集中度（上市后） | 前25股东占比 | 98.04%（绿鞋未行使口径） | 披露易 | 同上 |
| 公众持股/自由流通 | 公众持股比例（上市后，绿鞋前） | 25.00% | 披露易 | 同上（公眾持股量及自由流通量） |
| 公众持股/自由流通 | 自由流通量合规 | 符合上市规则8.08A | 披露易 | 同上 |
| 上市合规 | 公众股东人数下限 | 至少300名股东（已满足） | 披露易 | 同上 |
| 上市合规 | 配售集中度限制 | 无单一承配人获配超过上市后10% | 披露易 | 同上 |
| 控股股东禁售 | 首6个月禁售期截止 | 2026-02-27 | 披露易 | 同上（禁售承诺） |
| 控股股东禁售 | 第二个6个月禁售期截止 | 2026-08-27 | 披露易 | 同上 |
| 资金热度（孖展） | 招股期孖展认购金额 | 待阿斯达克补充 | 第三方 | 富途IPO页 + 阿斯达克检索 |
| 资金热度（孖展） | 孖展超购口径 | 待阿斯达克补充 | 第三方 | 富途IPO页 + 阿斯达克检索 |
| 暗盘 | 暗盘涨跌额 | +11.120 | 富途（IPO列表） | https://www.futunn.com/quote/hk/ipo |
| 暗盘 | 暗盘涨跌幅 | +101.83% | 富途（IPO列表） | 同上 |
| 首日表现 | 首日涨幅 | +177.84% | 富途（IPO列表） | 同上 |
| 首日表现 | 累计涨幅（当前） | +651.83% | 富途（IPO列表） | 同上 |
| 首日表现 | 首日开/高/收 | 待阿斯达克/新浪补充 | 第三方 | 富途IPO页 + 阿斯达克/新浪检索 |
| 首日成交 | 首日成交量/成交额 | 待阿斯达克/新浪补充 | 第三方 | 富途IPO页 + 阿斯达克/新浪检索 |
| 每手盈亏（首日） | 一手账面盈亏 | 约 +7,768.3港元（按首日涨幅177.84%反推） | 计算字段 | 10.92×(1+177.84%) 与发售价差额 ×400 |
| 行情（快照） | 最新价 | HK$82.100 | 富途（IPO列表） | https://www.futunn.com/quote/hk/ipo |
| 行情（快照） | 成交量 | 194.48万 | 富途（IPO列表） | 同上 |
| 行情（快照） | 成交额 | 1.64亿 | 富途（IPO列表） | 同上 |
| 行情（快照） | 总市值 | 374.13亿 | 富途（IPO列表） | 同上 |

## 备注
- 本表严格按你给的规则：披露易为主，富途补动态行情，剩余未补齐字段交给阿斯达克/新浪检索。
- 个别“承配人集中度 >100%（国际发售口径）”来自披露易原表（涉及AIX发售/统计口径），此处保留原披露值。
